rho R(km) M(SM) 
95939570.648833 4041.250715 0.916058 
96035510.219482 4040.338882 0.916154 
96131545.729701 4039.428011 0.916250 
96227677.275431 4038.521927 0.916345 
96323904.952706 4037.617006 0.916441 
96420228.857659 4036.712711 0.916535 
96516649.086517 4035.808770 0.916630 
96613165.735603 4034.905184 0.916724 
96709778.901339 4034.001952 0.916818 
96806488.680240 4033.099075 0.916912 
96903295.168920 4032.196554 0.917005 
97000198.464089 4031.294389 0.917098 
97097198.662553 4030.392581 0.917191 
97194295.861216 4029.491129 0.917283 
97291490.157077 4028.590156 0.917375 
97388781.647234 4027.694127 0.917470 
97486170.428881 4026.798788 0.917565 
97583656.599310 4025.903815 0.917660 
97681240.255910 4025.009208 0.917754 
97778921.496166 4024.114967 0.917848 
97876700.417662 4023.221093 0.917941 
97974577.118079 4022.327587 0.918034 
98072551.695197 4021.434448 0.918127 
98170624.246893 4020.539995 0.918224 
98268794.871139 4019.645044 0.918323 
98367063.666011 4018.750441 0.918422 
98465430.729677 4017.856187 0.918520 
98563896.160406 4016.962282 0.918618 
98662460.056567 4016.068944 0.918716 
98761122.516623 4015.176312 0.918813 
98859883.639140 4014.284030 0.918911 
98958743.522779 4013.392098 0.919007 
99057702.266302 4012.500516 0.919104 
99156759.968568 4011.609284 0.919200 
99255916.728537 4010.718403 0.919296 
99355172.645265 4009.827873 0.919391 
99454527.817910 4008.937695 0.919486 
99553982.345728 4008.047869 0.919581 
99653536.328074 4007.158396 0.919675 
99753189.864402 4006.269276 0.919770 
99852943.054266 4005.380509 0.919863 
99952795.997321 4004.492096 0.919957 
100052748.793318 4003.604037 0.920050 
100152801.542111 4002.716332 0.920143 
100252954.343653 4001.828982 0.920236 
100353207.297997 4000.941988 0.920328 
100453560.505295 4000.055349 0.920420 
100554014.065800 3999.169066 0.920512 
100654568.079866 3998.283139 0.920603 
100755222.647946 3997.397569 0.920694 
100855977.870594 3996.512357 0.920785 
100956833.848464 3995.627501 0.920876 
101057790.682313 3994.743004 0.920966 
101158848.472995 3993.858865 0.921056 
101260007.321468 3992.975084 0.921145 
101361267.328790 3992.091662 0.921234 
101462628.596118 3991.208599 0.921323 
101564091.224715 3990.325206 0.921414 
101665655.315939 3989.441612 0.921505 
101767320.971255 3988.558399 0.921597 
101869088.292226 3987.675567 0.921688 
101970957.380519 3986.793115 0.921779 
102072928.337899 3985.911045 0.921869 
102175001.266237 3985.029356 0.921960 
102277176.267503 3984.148048 0.922049 
102379453.443771 3983.267123 0.922139 
102481832.897215 3982.386579 0.922228 
102584314.730112 3981.506418 0.922317 
102686899.044842 3980.626640 0.922406 
102789585.943887 3979.747244 0.922495 
102892375.529831 3978.868231 0.922583 
102995267.905360 3977.989601 0.922671 
103098263.173266 3977.111355 0.922758 
103201361.436439 3976.233492 0.922845 
103304562.797875 3975.356013 0.922932 
103407867.360673 3974.478918 0.923019 
103511275.228034 3973.602207 0.923105 
103614786.503262 3972.725881 0.923191 
103718401.289765 3971.849939 0.923277 
103822119.691055 3970.974382 0.923363 
103925941.810746 3970.099210 0.923448 
104029867.752557 3969.227039 0.923534 
104133897.620309 3968.358690 0.923620 
104238031.517930 3967.490709 0.923706 
104342269.549447 3966.623099 0.923791 
104446611.818997 3965.755858 0.923877 
104551058.430816 3964.888988 0.923962 
104655609.489247 3964.022487 0.924046 
104760265.098736 3963.156358 0.924131 
104865025.363835 3962.290599 0.924215 
104969890.389198 3961.425211 0.924299 
105074860.279588 3960.560195 0.924383 
105179935.139867 3959.695550 0.924466 
105285115.075007 3958.835295 0.924550 
105390400.190082 3957.977483 0.924634 
105495790.590272 3957.119458 0.924721 
105601286.380862 3956.260973 0.924812 
105706887.667243 3955.402828 0.924902 
105812594.554911 3954.545022 0.924992 
105918407.149465 3953.687557 0.925081 
106024325.556615 3952.830432 0.925171 
106130349.882171 3951.973649 0.925260 
106236480.232054 3951.117206 0.925349 
106342716.712286 3950.261105 0.925437 
106449059.428998 3949.405346 0.925525 
106555508.488427 3948.549930 0.925613 
106662063.996915 3947.694856 0.925701 
106768726.060912 3946.840348 0.925788 
106875494.786973 3945.991343 0.925878 
106982370.281760 3945.142668 0.925968 
107089352.652042 3944.294322 0.926058 
107196442.004694 3943.446306 0.926147 
107303638.446699 3942.598621 0.926236 
107410942.085145 3941.756689 0.926328 
107518353.027230 3940.915115 0.926419 
107625871.380258 3940.073857 0.926510 
107733497.251638 3939.232917 0.926601 
107841230.748889 3938.392294 0.926692 
107949071.979638 3937.551989 0.926782 
108057021.051618 3936.712003 0.926872 
108165078.072670 3935.873802 0.926962 
108273243.150742 3935.037227 0.927051 
108381516.393893 3934.200967 0.927141 
108489897.910287 3933.365021 0.927230 
108598387.808197 3932.529390 0.927318 
108706986.196005 3931.694073 0.927406 
108815693.182201 3930.859072 0.927494 
108924508.875384 3930.024562 0.927582 
109033433.384259 3929.190376 0.927670 
109142466.817643 3928.356506 0.927757 
109251609.284461 3927.522952 0.927843 
109360860.893745 3926.689715 0.927930 
109470221.754639 3925.856795 0.928016 
109579691.976394 3925.024193 0.928102 
109689271.668370 3924.191909 0.928188 
109798960.940038 3923.359943 0.928273 
109908759.900978 3922.528295 0.928358 
110018668.660879 3921.696535 0.928446 
110128687.329540 3920.864982 0.928533 
110238816.016870 3920.033766 0.928621 
110349054.832887 3919.202889 0.928708 
110459403.887719 3918.372349 0.928795 
110569863.291607 3917.542149 0.928882 
110680433.154899 3916.712286 0.928969 
110791113.588054 3915.882784 0.929055 
110901904.701642 3915.053790 0.929141 
111012806.606343 3914.225134 0.929226 
111123819.412950 3913.396818 0.929311 
111234943.232363 3912.568841 0.929396 
111346178.175595 3911.741204 0.929481 
111457524.353770 3910.913907 0.929566 
111568981.878124 3910.086951 0.929650 
111680550.860002 3909.260334 0.929734 
111792231.410862 3908.434059 0.929817 
111904023.642273 3907.608124 0.929901 
112015927.665915 3906.782531 0.929984 
112127943.593581 3905.957279 0.930067 
112240071.537175 3905.132369 0.930149 
112352311.608712 3904.307801 0.930231 
112464663.920321 3903.483575 0.930313 
112577128.584241 3902.659692 0.930395 
112689705.712825 3901.836151 0.930476 
112802395.418538 3901.012953 0.930557 
112915197.813957 3900.190098 0.930638 
113028113.011771 3899.367587 0.930719 
113141141.124782 3898.545419 0.930799 
113254282.265907 3897.723594 0.930879 
113367536.548173 3896.902114 0.930959 
113480904.084721 3896.080978 0.931038 
113594384.988806 3895.260186 0.931118 
113707979.373795 3894.439739 0.931197 
113821687.353169 3893.619641 0.931275 
113935509.040522 3892.799891 0.931354 
114049444.549562 3891.980486 0.931432 
114163493.994112 3891.161426 0.931510 
114277657.488106 3890.342713 0.931587 
114391935.145594 3889.524344 0.931665 
114506327.080739 3888.706322 0.931742 
114620833.407820 3887.888646 0.931818 
114735454.241228 3887.071317 0.931895 
114850189.695469 3886.254334 0.931971 
114965039.885165 3885.437697 0.932047 
115080004.925050 3884.621408 0.932123 
115195084.929975 3883.805430 0.932199 
115310280.014905 3882.989649 0.932279 
115425590.294920 3882.174139 0.932361 
115541015.885215 3881.358963 0.932442 
115656556.901100 3880.544122 0.932524 
115772213.458001 3879.732637 0.932605 
115887985.671459 3878.923677 0.932686 
116003873.657130 3878.115043 0.932767 
116119877.530787 3877.306736 0.932848 
116235997.408318 3876.498756 0.932928 
116352233.405727 3875.691103 0.933008 
116468585.639132 3874.883778 0.933088 
116585054.224771 3874.076780 0.933168 
116701639.278996 3873.270111 0.933247 
116818340.918275 3872.463769 0.933326 
116935159.259193 3871.657756 0.933405 
117052094.418453 3870.852109 0.933483 
117169146.512871 3870.047863 0.933562 
117286315.659384 3869.243944 0.933640 
117403601.975043 3868.440350 0.933718 
117521005.577018 3867.637083 0.933795 
117638526.582595 3866.834143 0.933873 
117756165.109178 3866.031529 0.933950 
117873921.274287 3865.229242 0.934026 
117991795.195561 3864.427283 0.934103 
118109786.990757 3863.625651 0.934179 
118227896.777748 3862.824347 0.934255 
118346124.674525 3862.023370 0.934331 
118464470.799200 3861.222722 0.934406 
118582935.269999 3860.422403 0.934482 
118701518.205269 3859.622411 0.934556 
118820219.723474 3858.822749 0.934631 
118939039.943198 3858.023416 0.934706 
119057978.983141 3857.224412 0.934780 
119177036.962124 3856.425737 0.934854 
119296213.999086 3855.627392 0.934927 
119415510.213085 3854.829377 0.935001 
119534925.723298 3854.031693 0.935074 
119654460.649022 3853.234338 0.935146 
119774115.109671 3852.439510 0.935220 
119893889.224780 3851.647914 0.935295 
120013783.114005 3850.856649 0.935370 
120133796.897119 3850.065717 0.935444 
120253930.694016 3849.275117 0.935518 
120374184.624710 3848.485320 0.935592 
120494558.809335 3847.696399 0.935666 
120615053.368144 3846.907808 0.935740 
120735668.421512 3846.119547 0.935813 
120856404.089934 3845.331617 0.935886 
120977260.494024 3844.544017 0.935959 
121098237.754518 3843.756747 0.936031 
121219335.992272 3842.969809 0.936103 
121340555.328264 3842.183264 0.936176 
121461895.883593 3841.397442 0.936251 
121583357.779476 3840.611963 0.936325 
121704941.137256 3839.826829 0.936400 
121826646.078393 3839.042039 0.936474 
121948472.724471 3838.257593 0.936548 
122070421.197196 3837.473492 0.936622 
122192491.618393 3836.689735 0.936695 
122314684.110011 3835.907224 0.936769 
122436998.794121 3835.125198 0.936842 
122559435.792915 3834.343513 0.936914 
122681995.228708 3833.562170 0.936987 
122804677.223937 3832.781169 0.937059 
122927481.901161 3832.000509 0.937131 
123050409.383062 3831.220192 0.937203 
123173459.792445 3830.440216 0.937274 
123296633.252238 3829.660583 0.937345 
123419929.885490 3828.881291 0.937416 
123543349.815375 3828.102342 0.937487 
123666893.165191 3827.323735 0.937557 
123790560.058356 3826.545471 0.937628 
123914350.618414 3825.767549 0.937697 
124038264.969033 3824.989970 0.937767 
124162303.234002 3824.212734 0.937837 
124286465.537236 3823.435840 0.937906 
124410752.002773 3822.659290 0.937975 
124535162.754776 3821.883082 0.938043 
124659697.917530 3821.107217 0.938112 
124784357.615448 3820.331695 0.938180 
124909141.973063 3819.556517 0.938248 
125034051.115036 3818.781682 0.938316 
125159085.166151 3818.007190 0.938383 
125284244.251318 3817.233143 0.938450 
125409528.495569 3816.463151 0.938518 
125534938.024064 3815.694458 0.938586 
125660472.962088 3814.926104 0.938654 
125786133.435051 3814.158086 0.938721 
125911919.568486 3813.390407 0.938788 
126037831.488054 3812.623065 0.938855 
126163869.319542 3811.856363 0.938922 
126290033.188862 3811.090690 0.938988 
126416323.222050 3810.325352 0.939054 
126542739.545272 3809.560348 0.939120 
126669282.284818 3808.795679 0.939186 
126795951.567103 3808.031346 0.939251 
126922747.518670 3807.267347 0.939316 
127049670.266188 3806.503683 0.939381 
127176719.936454 3805.740355 0.939446 
127303896.656391 3804.977361 0.939511 
127431200.553047 3804.214703 0.939575 
127558631.753600 3803.452380 0.939639 
127686190.385354 3802.690392 0.939702 
127813876.575739 3801.928739 0.939766 
127941690.452315 3801.167422 0.939829 
128069632.142767 3800.406440 0.939892 
128197701.774910 3799.645794 0.939955 
128325899.476685 3798.885483 0.940017 
128454225.376162 3798.125507 0.940080 
128582679.601538 3797.365953 0.940142 
128711262.281139 3796.607380 0.940207 
128839973.543420 3795.849649 0.940274 
128968813.516964 3795.092474 0.940342 
129097782.330481 3794.335624 0.940409 
129226880.112811 3793.579101 0.940477 
129356106.992924 3792.822905 0.940544 
129485463.099917 3792.067035 0.940610 
129614948.563017 3791.311491 0.940677 
129744563.511580 3790.556275 0.940743 
129874308.075091 3789.801385 0.940809 
130004182.383166 3789.046822 0.940875 
130134186.565550 3788.292586 0.940941 
130264320.752115 3787.539215 0.941006 
130394585.072867 3786.787286 0.941071 
130524979.657940 3786.036736 0.941136 
130655504.637598 3785.286508 0.941201 
130786160.142236 3784.536601 0.941265 
130916946.302378 3783.787016 0.941329 
131047863.248680 3783.037752 0.941393 
131178911.111929 3782.288809 0.941457 
131310090.023041 3781.540189 0.941521 
131441400.113064 3780.791890 0.941584 
131572841.513177 3780.043912 0.941647 
131704414.354690 3779.296257 0.941710 
131836118.769045 3778.548924 0.941772 
131967954.887814 3777.801912 0.941835 
132099922.842702 3776.882693 0.941911 
132232022.765544 3775.907626 0.941991 
132364254.788310 3774.931968 0.942071 
132496619.043098 3773.955721 0.942151 
132629115.662141 3772.978871 0.942230 
132761744.777803 3772.001521 0.942309 
132894506.522581 3771.023583 0.942388 
133027401.029104 3770.045093 0.942466 
133160428.430133 3769.065965 0.942544 
133293588.858563 3768.086334 0.942621 
133426882.447421 3767.106267 0.942699 
133560309.329869 3766.125606 0.942776 
133693869.639199 3765.144383 0.942852 
133827563.508838 3764.162840 0.942929 
133961391.072347 3763.180534 0.943005 
134095352.463419 3762.197928 0.943081 
134229447.815882 3761.214850 0.943156 
134363677.263698 3760.231211 0.943231 
134498040.940962 3759.247939 0.943306 
134632538.981903 3758.265906 0.943382 
134767171.520885 3757.288828 0.943460 
134901938.692406 3756.311798 0.943538 
135036840.631098 3755.333371 0.943615 
135171877.471729 3754.354863 0.943692 
135307049.349201 3753.378907 0.943771 
135442356.398550 3752.407685 0.943851 
135577798.754949 3751.435144 0.943931 
135713376.553703 3750.464295 0.944015 
135849089.930257 3749.493295 0.944099 
135984939.020187 3748.522224 0.944183 
136120923.959208 3747.549369 0.944267 
136257044.883167 3746.577054 0.944350 
136393301.928050 3745.604033 0.944434 
136529695.229978 3744.632185 0.944516 
136666224.925208 3743.660002 0.944599 
136802891.150133 3742.687145 0.944681 
136939694.041283 3741.714828 0.944764 
137076633.735325 3740.741663 0.944845 
137213710.369060 3739.768910 0.944927 
137350924.079429 3738.796636 0.945008 
137488275.003508 3737.821218 0.945089 
137625763.278512 3736.846291 0.945171 
137763389.041790 3735.871910 0.945251 
137901152.430832 3734.896452 0.945332 
138039053.583263 3733.921562 0.945412 
138177092.636846 3732.947622 0.945491 
138315269.729483 3731.971712 0.945571 
138453584.999212 3730.994803 0.945651 
138592038.584212 3730.018442 0.945730 
138730630.622796 3729.042394 0.945809 
138869361.253419 3728.065353 0.945888 
139008230.614672 3727.088905 0.945967 
139147238.845287 3726.113051 0.946045 
139286386.084132 3725.136497 0.946122 
139425672.470216 3724.156748 0.946201 
139565098.142686 3723.177552 0.946279 
139704663.240829 3722.198911 0.946356 
139844367.904070 3721.220511 0.946433 
139984212.271974 3720.241120 0.946511 
140124196.484246 3719.262327 0.946587 
140264320.680730 3718.284132 0.946664 
140404585.001411 3717.306537 0.946740 
140544989.586412 3716.325706 0.946816 
140685534.575998 3715.343518 0.946893 
140826220.110574 3714.361890 0.946969 
140967046.330685 3713.380822 0.947044 
141108013.377016 3712.400315 0.947119 
141249121.390393 3711.418602 0.947195 
141390370.511783 3710.437314 0.947270 
141531760.882295 3709.456630 0.947345 
141673292.643177 3708.479664 0.947419 
141814965.935820 3707.506778 0.947494 
141956780.901756 3706.530346 0.947569 
142098737.682658 3705.552519 0.947645 
142240836.420340 3704.575624 0.947721 
142383077.256761 3703.600830 0.947800 
142525460.334018 3702.627973 0.947882 
142667985.794352 3701.655816 0.947965 
142810653.780146 3700.682112 0.948048 
142953464.433926 3699.708960 0.948131 
143096417.898360 3698.736361 0.948213 
143239514.316258 3697.767156 0.948295 
143382753.830574 3696.798894 0.948377 
143526136.584405 3695.830729 0.948458 
143669662.720989 3694.863973 0.948542 
143813332.383710 3693.898314 0.948625 
143957145.716094 3692.933129 0.948708 
144101102.861810 3691.968419 0.948790 
144245203.964672 3691.007673 0.948873 
144389449.168637 3690.051942 0.948956 
144533838.617805 3689.094485 0.949040 
144678372.456423 3688.136280 0.949123 
144823050.828879 3687.178570 0.949206 
144967873.879708 3686.221357 0.949288 
145112841.753588 3685.264640 0.949370 
145257954.595342 3684.308421 0.949452 
145403212.549937 3683.355351 0.949533 
145548615.762487 3682.400259 0.949615 
145694164.378249 3681.445850 0.949699 
145839858.542628 3680.497062 0.949783 
145985698.401170 3679.548688 0.949867 
146131684.099571 3678.600729 0.949950 
146277815.783671 3677.653186 0.950033 
146424093.599455 3676.706061 0.950116 
146570517.693054 3675.759129 0.950198 
146717088.210747 3674.809266 0.950280 
146863805.298958 3673.860799 0.950363 
147010669.104257 3672.913114 0.950445 
147157679.773361 3671.965894 0.950527 
147304837.453134 3671.019138 0.950608 
147452142.290587 3670.072849 0.950688 
147599594.432878 3669.127025 0.950769 
147747194.027311 3668.181669 0.950848 
147894941.221338 3667.231657 0.950930 
148042836.162559 3666.283971 0.951014 
148190878.998722 3665.340689 0.951099 
148339069.877721 3664.397836 0.951183 
148487408.947598 3663.455413 0.951267 
148635896.356546 3662.513421 0.951351 
148784532.252903 3661.571862 0.951434 
148933316.785155 3660.630744 0.951516 
149082250.101941 3659.689837 0.951599 
149231332.352042 3658.745504 0.951682 
149380563.684394 3657.801649 0.951765 
149529944.248079 3656.858277 0.951847 
149679474.192327 3655.915388 0.951929 
149829153.666519 3654.972978 0.952011 
149978982.820186 3654.031048 0.952092 
150128961.803006 3653.091401 0.952176 
150279090.764809 3652.152868 0.952260 
150429369.855574 3651.215005 0.952344 
150579799.225429 3650.274840 0.952429 
150730379.024655 3649.331047 0.952516 
150881109.403679 3648.387716 0.952603 
151031990.513083 3647.444849 0.952689 
151183022.503596 3646.502446 0.952775 
151334205.526100 3645.560508 0.952860 
151485539.731626 3644.619035 0.952945 
151637025.271357 3643.678028 0.953029 
151788662.296629 3642.737488 0.953113 
151940450.958925 3641.797415 0.953196 
152092391.409884 3640.857011 0.953280 
152244483.801294 3639.913944 0.953364 
152396728.285095 3638.971385 0.953448 
152549125.013380 3638.029333 0.953532 
152701674.138394 3637.087789 0.953615 
152854375.812532 3636.146754 0.953698 
153007230.188345 3635.206227 0.953780 
153160237.418533 3634.266208 0.953862 
153313397.655951 3633.326699 0.953943 
153466711.053607 3632.387700 0.954024 
153620177.764661 3631.449211 0.954105 
153773797.942426 3630.511126 0.954185 
153927571.740368 3629.566599 0.954269 
154081499.312108 3628.621943 0.954352 
154235580.811420 3627.677764 0.954435 
154389816.392232 3626.734062 0.954518 
154544206.208624 3625.790839 0.954600 
154698750.414833 3624.848095 0.954682 
154853449.165247 3623.905830 0.954764 
155008302.614413 3622.964044 0.954845 
155163310.917027 3622.022738 0.954925 
155318474.227944 3621.081914 0.955005 
155473792.702172 3620.141570 0.955085 
155629266.494874 3619.201670 0.955164 
155784895.761369 3618.258730 0.955245 
155940680.657130 3617.316214 0.955326 
156096621.337788 3616.374217 0.955406 
156252717.959125 3615.432737 0.955486 
156408970.677084 3614.491777 0.955566 
156565379.647762 3613.551335 0.955645 
156721945.027409 3612.611412 0.955723 
156878666.972437 3611.672008 0.955802 
157035545.639409 3610.735702 0.955880 
157192581.185048 3609.801516 0.955957 
157349773.766234 3608.867835 0.956034 
157507123.540000 3607.934658 0.956111 
157664630.663540 3607.001987 0.956188 
157822295.294203 3606.063474 0.956267 
157980117.589497 3605.123852 0.956348 
158138097.707087 3604.184705 0.956428 
158296235.804794 3603.246033 0.956507 
158454532.040599 3602.307837 0.956586 
158612986.572639 3601.370116 0.956665 
158771599.559212 3600.432871 0.956743 
158930371.158771 3599.497639 0.956823 
159089301.529930 3598.564296 0.956905 
159248390.831460 3597.632274 0.956987 
159407639.222291 3596.702842 0.957072 
159567046.861513 3595.773857 0.957157 
159726613.908375 3594.845320 0.957242 
159886340.522283 3593.921699 0.957326 
160046226.862806 3592.995842 0.957411 
160206273.089668 3592.069610 0.957497 
160366479.362758 3591.143847 0.957583 
160526845.842121 3590.218554 0.957668 
160687372.687963 3589.293793 0.957752 
160848060.060651 3588.370737 0.957837 
161008908.120711 3587.448695 0.957920 
161169917.028832 3586.527119 0.958004 
161331086.945861 3585.606011 0.958087 
161492418.032807 3584.685371 0.958169 
161653910.450840 3583.765199 0.958252 
161815564.361290 3582.845495 0.958333 
161977379.925652 3581.926260 0.958415 
162139357.305577 3581.007494 0.958496 
162301496.662883 3580.089199 0.958576 
162463798.159546 3579.168984 0.958658 
162626261.957705 3578.243871 0.958744 
162788888.219663 3577.319197 0.958828 
162951677.107883 3576.394963 0.958913 
163114628.784990 3575.471170 0.958997 
163277743.413775 3574.547818 0.959081 
163441021.157189 3573.624907 0.959164 
163604462.178346 3572.702438 0.959247 
163768066.640525 3571.784890 0.959331 
163931834.707165 3570.870234 0.959416 
164095766.541872 3569.955998 0.959500 
164259862.308414 3569.042183 0.959584 
164424122.170723 3568.128790 0.959668 
164588546.292893 3567.215820 0.959751 
164753134.839186 3566.303272 0.959834 
164917887.974025 3565.395039 0.959918 
165082805.861999 3564.490467 0.960003 
165247888.667861 3563.583238 0.960089 
165413136.556529 3562.675755 0.960176 
165578549.693086 3561.768709 0.960263 
165744128.242779 3560.862101 0.960349 
165909872.371021 3559.955931 0.960435 
166075782.243392 3559.050200 0.960520 
166241858.025636 3558.144908 0.960605 
166408099.883661 3557.240055 0.960689 
166574507.983545 3556.335642 0.960773 
166741082.491529 3555.431670 0.960857 
166907823.574020 3554.528138 0.960940 
167074731.397594 3553.625048 0.961023 
167241806.128992 3552.722455 0.961106 
167409047.935121 3551.820534 0.961188 
167576456.983056 3550.919060 0.961270 
167744033.440039 3550.019884 0.961352 
167911777.473479 3549.125583 0.961434 
168079689.250952 3548.232424 0.961516 
168247768.940203 3547.335684 0.961601 
168416016.709143 3546.436561 0.961688 
168584432.725853 3545.537862 0.961775 
168753017.158578 3544.639599 0.961862 
168921770.175737 3543.741740 0.961948 
169090691.945913 3542.844284 0.962034 
169259782.637859 3541.947233 0.962119 
169429042.420496 3541.050587 0.962204 
169598471.462917 3540.154347 0.962289 
169768069.934380 3539.261037 0.962376 
169937838.004314 3538.368929 0.962464 
170107775.842318 3537.478154 0.962552 
170277883.618161 3536.591624 0.962639 
170448161.501779 3535.706134 0.962727 
170618609.663281 3534.821562 0.962813 
170789228.272944 3533.937800 0.962900 
170960017.501217 3533.054447 0.962986 
171130977.518718 3532.171505 0.963072 
171302108.496237 3531.288972 0.963157 
171473410.604733 3530.406313 0.963242 
171644884.015338 3529.520695 0.963330 
171816528.899353 3528.635519 0.963417 
171988345.428252 3527.750785 0.963504 
172160333.773681 3526.866495 0.963591 
172332494.107454 3525.982647 0.963677 
172504826.601562 3525.099243 0.963763 
172677331.428163 3524.216282 0.963848 
172850008.759591 3523.333765 0.963934 
173022858.768351 3522.451692 0.964018 
173195881.627119 3521.570063 0.964103 
173369077.508746 3520.688879 0.964187 
173542446.586255 3519.808138 0.964270 
173715989.032841 3518.927843 0.964353 
173889705.021874 3518.047993 0.964436 
174063594.726896 3517.168587 0.964519 
174237658.321623 3516.289627 0.964601 
174411895.979944 3515.411113 0.964682 
174586307.875924 3514.533044 0.964764 
174760894.183800 3513.655421 0.964845 
174935655.077984 3512.778244 0.964925 
175110590.733062 3511.901609 0.965006 
175285701.323795 3511.021911 0.965090 
175460987.025119 3510.140870 0.965176 
175636448.012144 3509.260504 0.965262 
175812084.460156 3508.380557 0.965348 
175987896.544616 3507.501028 0.965433 
176163884.441161 3506.621919 0.965518 
176340048.325602 3505.743228 0.965603 
176516388.373928 3504.864957 0.965687 
176692904.762301 3503.987106 0.965771 
176869597.667064 3503.109676 0.965855 
177046467.264731 3502.232665 0.965938 
177223513.731995 3501.356076 0.966021 
177400737.245727 3500.479908 0.966103 
177578137.982973 3499.604161 0.966185 
177755716.120956 3498.728836 0.966267 
177933471.837077 3497.853932 0.966348 
178111405.308914 3496.979451 0.966429 
178289516.714223 3496.105393 0.966510 
178467806.230937 3495.231758 0.966590 
178646274.037168 3494.358545 0.966670 
178824920.311205 3493.485756 0.966749 
179003745.231517 3492.613390 0.966828 
179182748.976748 3491.741449 0.966907 
179361931.725725 3490.868449 0.966987 
179541293.657450 3489.994271 0.967069 
179720834.951108 3489.121470 0.967151 
179900555.786059 3488.249214 0.967232 
180080456.341845 3487.377407 0.967312 
180260536.798187 3486.506048 0.967393 
180440797.334985 3485.635137 0.967473 
180621238.132320 3484.764676 0.967553 
180801859.370452 3483.894664 0.967632 
180982661.229823 3483.025100 0.967711 
181163643.891053 3482.155986 0.967790 
181344807.534944 3481.287321 0.967868 
181526152.342479 3480.419106 0.967946 
181707678.494821 3479.551340 0.968024 
181889386.173316 3478.684023 0.968101 
182071275.559489 3477.817157 0.968178 
182253346.835049 3476.952902 0.968257 
182435600.181884 3476.090406 0.968337 
182618035.782065 3475.228349 0.968416 
182800653.817847 3474.367259 0.968496 
182983454.471665 3473.509598 0.968578 
183166437.926137 3472.652365 0.968661 
183349604.364063 3471.795559 0.968743 
183532953.968427 3470.939180 0.968824 
183716486.922396 3470.083230 0.968905 
183900203.409318 3469.227707 0.968986 
184084103.612727 3468.368552 0.969073 
184268187.716340 3467.510188 0.969160 
184452455.904056 3466.652226 0.969248 
184636908.359960 3465.794667 0.969335 
184821545.268320 3464.937510 0.969421 
185006366.813589 3464.080756 0.969507 
185191373.180402 3463.224406 0.969593 
185376564.553582 3462.368459 0.969678 
185561941.118136 3461.512916 0.969763 
185747503.059254 3460.662323 0.969850 
185933250.562313 3459.813850 0.969937 
186119183.812876 3458.965778 0.970023 
186305302.996689 3458.118108 0.970109 
186491608.299685 3457.270840 0.970195 
186678099.907985 3456.423974 0.970280 
186864778.007893 3455.577510 0.970365 
187051642.785901 3454.731449 0.970450 
187238694.428687 3453.885791 0.970534 
187425933.123115 3453.040536 0.970618 
187613359.056238 3452.195684 0.970701 
187800972.415294 3451.351236 0.970784 
187988773.387710 3450.507192 0.970867 
188176762.161097 3449.663552 0.970950 
188364938.923259 3448.820316 0.971032 
188553303.862182 3447.977484 0.971114 
188741857.166044 3447.135058 0.971195 
188930599.023210 3446.293036 0.971276 
189119529.622233 3445.450733 0.971358 
189308649.151855 3444.607003 0.971443 
189497957.801007 3443.763704 0.971526 
189687455.758808 3442.920834 0.971610 
189877143.214567 3442.078395 0.971693 
190067020.357782 3441.236387 0.971776 
190257087.378139 3440.394809 0.971859 
190447344.465517 3439.553662 0.971941 
190637791.809983 3438.712946 0.972023 
190828429.601793 3437.872661 0.972105 
191019258.031395 3437.032806 0.972186 
191210277.289426 3436.193383 0.972267 
191401487.566715 3435.354391 0.972347 
191592889.054282 3434.515829 0.972428 
191784481.943336 3433.677699 0.972508 
191976266.425280 3432.840001 0.972587 
192168242.691705 3432.002747 0.972667 
192360410.934397 3431.166036 0.972746 
192552771.345331 3430.329756 0.972824 
192745324.116676 3429.493907 0.972903 
192938069.440793 3428.658490 0.972981 
193131007.510234 3427.823503 0.973058 
193324138.517744 3426.988948 0.973136 
193517462.656262 3426.154824 0.973213 
193710980.118918 3425.321132 0.973289 
193904691.099037 3424.487871 0.973366 
194098595.790136 3423.655041 0.973442 
194292694.385926 3422.822642 0.973517 
194486987.080312 3421.990676 0.973593 
194681474.067392 3421.159140 0.973668 
194876155.541460 3420.328036 0.973743 
195071031.697001 3419.494259 0.973822 
195266102.728698 3418.658903 0.973904 
195461368.831427 3417.823963 0.973985 
195656830.200258 3416.989442 0.974067 
195852487.030458 3416.155487 0.974148 
196048339.517489 3415.321947 0.974228 
196244387.857006 3414.488824 0.974308 
196440632.244863 3413.656118 0.974388 
196637072.877108 3412.823827 0.974468 
196833709.949985 3411.991953 0.974547 
197030543.659935 3411.160496 0.974626 
197227574.203595 3410.329456 0.974705 
197424801.777799 3409.498833 0.974783 
197622226.579576 3408.668627 0.974861 
197819848.806156 3407.838838 0.974939 
198017668.654962 3407.010333 0.975016 
198215686.323617 3406.188251 0.975096 
198413902.009941 3405.368476 0.975177 
198612315.911950 3404.549110 0.975258 
198810928.227862 3403.730152 0.975339 
199009739.156090 3402.911605 0.975419 
199208748.895246 3402.093466 0.975498 
199407957.644141 3401.275737 0.975578 
199607365.601786 3400.458418 0.975657 
199806972.967387 3399.641508 0.975736 
200006779.940355 3398.825009 0.975814 
