rho R(km) M(SM) 
1067124.365383 9862.095360 0.328243 
1068191.489749 9859.988292 0.328387 
1069259.681238 9857.877570 0.328531 
1070328.940920 9855.762889 0.328675 
1071399.269860 9853.643453 0.328818 
1072470.669130 9851.514511 0.328962 
1073543.139799 9849.382888 0.329105 
1074616.682939 9847.246975 0.329249 
1075691.299622 9845.108919 0.329392 
1076766.990922 9843.000767 0.329538 
1077843.757913 9840.927145 0.329687 
1078921.601671 9838.903175 0.329839 
1080000.523272 9836.870961 0.329990 
1081080.523796 9834.836015 0.330141 
1082161.604319 9832.796905 0.330292 
1083243.765924 9830.748560 0.330444 
1084327.009690 9828.697074 0.330596 
1085411.336699 9826.641588 0.330747 
1086496.748036 9824.579945 0.330898 
1087583.244784 9822.515697 0.331049 
1088670.828029 9820.460974 0.331200 
1089759.498857 9818.400521 0.331352 
1090849.258356 9816.336408 0.331503 
1091940.107614 9814.269233 0.331654 
1093032.047722 9812.197145 0.331805 
1094125.079769 9810.138176 0.331956 
1095219.204849 9808.077065 0.332107 
1096314.424054 9806.013360 0.332257 
1097410.738478 9803.940789 0.332408 
1098508.149217 9801.862429 0.332560 
1099606.657366 9799.781067 0.332711 
1100706.264023 9797.696735 0.332861 
1101806.970287 9795.615259 0.333013 
1102908.777257 9793.574943 0.333164 
1104011.686035 9791.531912 0.333316 
1105115.697721 9789.486198 0.333467 
1106220.813418 9787.445523 0.333618 
1107327.034232 9785.445616 0.333772 
1108434.361266 9783.442325 0.333926 
1109542.795627 9781.435684 0.334079 
1110652.338423 9779.425729 0.334231 
1111762.990761 9777.407761 0.334384 
1112874.753752 9775.384845 0.334537 
1113987.628506 9773.359131 0.334690 
1115101.616134 9771.330652 0.334841 
1116216.717751 9769.299437 0.334993 
1117332.934468 9767.261604 0.335146 
1118450.267403 9765.218165 0.335299 
1119568.717670 9763.182979 0.335453 
1120688.286388 9761.147343 0.335605 
1121808.974674 9759.108549 0.335757 
1122930.783649 9757.065254 0.335910 
1124053.714433 9755.023299 0.336062 
1125177.768147 9752.985064 0.336215 
1126302.945915 9750.944140 0.336367 
1127429.248861 9748.907577 0.336519 
1128556.678110 9746.922414 0.336673 
1129685.234788 9744.933384 0.336829 
1130814.920023 9742.939370 0.336987 
1131945.734943 9740.942351 0.337144 
1133077.680678 9738.942358 0.337300 
1134210.758358 9736.939421 0.337456 
1135344.969117 9734.933570 0.337612 
1136480.314086 9732.923825 0.337767 
1137616.794400 9730.907374 0.337924 
1138754.411194 9728.888500 0.338080 
1139893.165606 9726.867237 0.338236 
1141033.058771 9724.843615 0.338391 
1142174.091830 9722.817617 0.338545 
1143316.265922 9720.789267 0.338699 
1144459.582188 9718.756630 0.338854 
1145604.041770 9716.718256 0.339012 
1146749.645812 9714.677129 0.339169 
1147896.395458 9712.633279 0.339325 
1149044.291853 9710.586735 0.339481 
1150193.336145 9708.537525 0.339637 
1151343.529481 9706.485676 0.339792 
1152494.873010 9704.430888 0.339946 
1153647.367883 9702.372373 0.340103 
1154801.015251 9700.321872 0.340259 
1155955.816267 9698.287425 0.340414 
1157111.772083 9696.250772 0.340569 
1158268.883855 9694.211937 0.340724 
1159427.152739 9692.170946 0.340878 
1160586.579892 9690.127821 0.341031 
1161747.166471 9688.081113 0.341186 
1162908.913638 9686.029154 0.341343 
1164071.822552 9683.974677 0.341500 
1165235.894374 9681.919818 0.341657 
1166401.130268 9679.863341 0.341813 
1167567.531399 9677.804418 0.341968 
1168735.098930 9675.743075 0.342123 
1169903.834029 9673.679339 0.342278 
1171073.737863 9671.613305 0.342432 
1172244.811601 9669.545316 0.342588 
1173417.056413 9667.475320 0.342744 
1174590.473469 9665.403342 0.342899 
1175765.063942 9663.329406 0.343054 
1176940.829006 9661.253533 0.343209 
1178117.769835 9659.175746 0.343362 
1179295.887605 9657.096067 0.343516 
1180475.183493 9655.014519 0.343669 
1181655.658676 9652.931123 0.343821 
1182837.314335 9650.870261 0.343980 
1184020.151649 9648.838606 0.344140 
1185204.171801 9646.846161 0.344303 
1186389.375973 9644.873279 0.344466 
1187575.765349 9642.897624 0.344629 
1188763.341114 9640.943175 0.344792 
1189952.104455 9639.012852 0.344955 
1191142.056560 9637.087423 0.345117 
1192333.198616 9635.166606 0.345279 
1193525.531815 9633.242429 0.345441 
1194719.057347 9631.314434 0.345605 
1195913.776404 9629.384084 0.345768 
1197109.690180 9627.451402 0.345931 
1198306.799871 9625.516412 0.346093 
1199505.106670 9623.579136 0.346255 
1200704.611777 9621.639599 0.346416 
1201905.316389 9619.697822 0.346577 
1203107.221705 9617.753828 0.346738 
1204310.328927 9615.807641 0.346898 
1205514.639256 9613.859281 0.347057 
1206720.153895 9611.911750 0.347221 
1207926.874049 9609.962977 0.347385 
1209134.800923 9608.011649 0.347550 
1210343.935724 9606.057791 0.347714 
1211554.279660 9604.101433 0.347877 
1212765.833939 9602.142588 0.348040 
1213978.599773 9600.181412 0.348203 
1215192.578373 9598.218032 0.348365 
1216407.770952 9596.252374 0.348526 
1217624.178723 9594.284618 0.348687 
1218841.802901 9592.314499 0.348848 
1220060.644704 9590.343740 0.349010 
1221280.705349 9588.372459 0.349173 
1222501.986054 9586.399158 0.349335 
1223724.488040 9584.423859 0.349497 
1224948.212528 9582.446582 0.349659 
1226173.160741 9580.467348 0.349820 
1227399.333902 9578.486178 0.349980 
1228626.733235 9576.503092 0.350141 
1229855.359969 9574.518110 0.350300 
1231085.215329 9572.531253 0.350460 
1232316.300544 9570.542541 0.350619 
1233548.616845 9568.551993 0.350777 
1234782.165461 9566.567339 0.350937 
1236016.947627 9564.586718 0.351101 
1237252.964574 9562.603868 0.351265 
1238490.217539 9560.618813 0.351428 
1239728.707757 9558.631575 0.351591 
1240968.436464 9556.642176 0.351754 
1242209.404901 9554.650638 0.351916 
1243451.614306 9552.656982 0.352077 
1244695.065920 9550.661228 0.352238 
1245939.760986 9548.663399 0.352399 
1247185.700747 9546.663515 0.352559 
1248432.886448 9544.680230 0.352720 
1249681.319334 9542.738423 0.352883 
1250931.000653 9540.796259 0.353046 
1252181.931654 9538.857230 0.353211 
1253434.113586 9536.916485 0.353376 
1254687.547699 9534.974040 0.353541 
1255942.235247 9533.051168 0.353705 
1257198.177482 9531.127207 0.353869 
1258455.375660 9529.201507 0.354032 
1259713.831035 9527.274085 0.354195 
1260973.544866 9525.344959 0.354357 
1262234.518411 9523.414146 0.354519 
1263496.752930 9521.492829 0.354681 
1264760.249683 9519.581925 0.354842 
1266025.009932 9517.669287 0.355003 
1267291.034942 9515.754935 0.355164 
1268558.325977 9513.839304 0.355324 
1269826.884303 9511.932446 0.355491 
1271096.711187 9510.024095 0.355658 
1272367.807899 9508.113709 0.355824 
1273640.175707 9506.201306 0.355989 
1274913.815882 9504.286905 0.356155 
1276188.729698 9502.370526 0.356319 
1277464.918428 9500.452187 0.356484 
1278742.383346 9498.531908 0.356648 
1280021.125730 9496.614500 0.356811 
1281301.146855 9494.731554 0.356975 
1282582.448002 9492.847649 0.357139 
1283865.030450 9490.961705 0.357302 
1285148.895481 9489.075689 0.357464 
1286434.044376 9487.190492 0.357627 
1287720.478421 9485.343525 0.357789 
1289008.198899 9483.499589 0.357955 
1290297.207098 9481.654906 0.358120 
1291587.504305 9479.808341 0.358285 
1292879.091809 9477.959914 0.358450 
1294171.970901 9476.109640 0.358614 
1295466.142872 9474.257538 0.358778 
1296761.609015 9472.403626 0.358942 
1298058.370624 9470.547921 0.359105 
1299356.428994 9468.690439 0.359268 
1300655.785423 9466.831199 0.359430 
1301956.441209 9464.970217 0.359592 
1303258.397650 9463.107511 0.359753 
1304561.656048 9461.243096 0.359915 
1305866.217704 9459.376990 0.360075 
1307172.083921 9457.509209 0.360236 
1308479.256005 9455.642183 0.360396 
1309787.735261 9453.787006 0.360557 
1311097.522997 9451.944152 0.360724 
1312408.620520 9450.099254 0.360890 
1313721.029140 9448.252332 0.361056 
1315034.750169 9446.403403 0.361222 
1316349.784920 9444.556175 0.361387 
1317666.134704 9442.716472 0.361552 
1318983.800839 9440.874765 0.361716 
1320302.784640 9439.037292 0.361881 
1321623.087425 9437.247883 0.362047 
1322944.710512 9435.456288 0.362214 
1324267.655223 9433.699850 0.362382 
1325591.922878 9431.962689 0.362550 
1326917.514801 9430.223149 0.362718 
1328244.432315 9428.481252 0.362886 
1329572.676748 9426.737016 0.363053 
1330902.249425 9424.990462 0.363220 
1332233.151674 9423.241608 0.363387 
1333565.384826 9421.494916 0.363555 
1334898.950210 9419.750265 0.363725 
1336233.849161 9418.003591 0.363894 
1337570.083010 9416.254912 0.364063 
1338907.653093 9414.504245 0.364231 
1340246.560746 9412.751608 0.364399 
1341586.807307 9410.997019 0.364567 
1342928.394114 9409.240494 0.364734 
1344271.322508 9407.482051 0.364901 
1345615.593831 9405.721706 0.365068 
1346961.209424 9403.959477 0.365234 
1348308.170634 9402.195379 0.365400 
1349656.478804 9400.429431 0.365565 
1351006.135283 9398.661648 0.365730 
1352357.141419 9396.892047 0.365894 
1353709.498560 9395.120644 0.366059 
1355063.208059 9393.347455 0.366222 
1356418.271267 9391.572497 0.366386 
1357774.689538 9389.795785 0.366549 
1359132.464227 9388.021630 0.366713 
1360491.596692 9386.274064 0.366884 
1361852.088288 9384.526352 0.367054 
1363213.940377 9382.776823 0.367224 
1364577.154317 9381.025313 0.367393 
1365941.731471 9379.271726 0.367562 
1367307.673203 9377.521564 0.367731 
1368674.980876 9375.774171 0.367899 
1370043.655857 9374.024717 0.368067 
1371413.699513 9372.273218 0.368234 
1372785.113212 9370.519694 0.368401 
1374157.898325 9368.764161 0.368568 
1375532.056224 9367.006634 0.368735 
1376907.588280 9365.247132 0.368901 
1378284.495868 9363.485671 0.369066 
1379662.780364 9361.722268 0.369231 
1381042.443144 9359.956940 0.369396 
1382423.485588 9358.189705 0.369561 
1383805.909073 9356.420577 0.369725 
1385189.714982 9354.649575 0.369889 
1386574.904697 9352.876714 0.370052 
1387961.479602 9351.108365 0.370217 
1389349.441082 9349.347108 0.370383 
1390738.790523 9347.584227 0.370550 
1392129.529313 9345.821108 0.370716 
1393521.658842 9344.074961 0.370882 
1394915.180501 9342.327874 0.371047 
1396310.095682 9340.579191 0.371213 
1397706.405778 9338.828927 0.371377 
1399104.112183 9337.077097 0.371542 
1400503.216295 9335.323715 0.371706 
1401903.719512 9333.568795 0.371869 
1403305.623231 9331.814428 0.372033 
1404708.928855 9330.090472 0.372196 
1406113.637783 9328.365183 0.372360 
1407519.751421 9326.638368 0.372523 
1408927.271173 9324.910043 0.372685 
1410336.198444 9323.194110 0.372848 
1411746.534642 9321.511399 0.373012 
1413158.281177 9319.827201 0.373176 
1414571.439458 9318.141529 0.373340 
1415986.010897 9316.454396 0.373503 
1417401.996908 9314.765815 0.373666 
1418819.398905 9313.075799 0.373829 
1420238.218304 9311.408166 0.373997 
1421658.456522 9309.749026 0.374168 
1423080.114979 9308.088160 0.374338 
1424503.195094 9306.425581 0.374508 
1425927.698289 9304.761304 0.374677 
1427353.625987 9303.095343 0.374846 
1428780.979613 9301.427711 0.375015 
1430209.760593 9299.758423 0.375183 
1431639.970354 9298.087492 0.375351 
1433071.610324 9296.414933 0.375519 
1434504.681934 9294.741029 0.375686 
1435939.186616 9293.067073 0.375853 
1437375.125803 9291.391525 0.376019 
1438812.500929 9289.714399 0.376185 
1440251.313430 9288.035706 0.376351 
1441691.564743 9286.355462 0.376517 
1443133.256308 9284.673678 0.376682 
1444576.389564 9282.990369 0.376847 
1446020.965954 9281.305547 0.377011 
1447466.986920 9279.619224 0.377175 
1448914.453906 9277.931415 0.377339 
1450363.368360 9276.242131 0.377502 
1451813.731729 9274.551386 0.377665 
1453265.545460 9272.859191 0.377828 
1454718.811006 9271.170372 0.377992 
1456173.529817 9269.493593 0.378158 
1457629.703347 9267.815539 0.378324 
1459087.333050 9266.136222 0.378489 
1460546.420383 9264.455654 0.378655 
1462006.966803 9262.773846 0.378820 
1463468.973770 9261.090808 0.378984 
1464932.442744 9259.406553 0.379149 
1466397.375187 9257.721091 0.379313 
1467863.772562 9256.034434 0.379476 
1469331.636335 9254.347934 0.379640 
1470800.967971 9252.667317 0.379803 
1472271.768939 9250.985521 0.379965 
1473744.040708 9249.302557 0.380127 
1475217.784749 9247.618435 0.380289 
1476693.002533 9245.933166 0.380451 
1478169.695536 9244.246761 0.380612 
1479647.865231 9242.559231 0.380773 
1481127.513097 9240.870585 0.380934 
1482608.640610 9239.180835 0.381094 
1484091.249250 9237.489991 0.381254 
1485575.340500 9235.798062 0.381414 
1487060.915840 9234.105061 0.381573 
1488547.976756 9232.410995 0.381732 
1490036.524733 9230.715877 0.381891 
1491526.561257 9229.019715 0.382049 
1493018.087819 9227.322521 0.382208 
1494511.105906 9225.641090 0.382369 
1496005.617012 9223.976195 0.382535 
1497501.622629 9222.310017 0.382701 
1498999.124252 9220.642564 0.382866 
1500498.123376 9218.973850 0.383031 
1501998.621500 9217.303885 0.383196 
1503500.620121 9215.632680 0.383360 
1505004.120741 9213.960246 0.383524 
1506509.124862 9212.286595 0.383688 
1508015.633987 9210.611738 0.383851 
1509523.649621 9208.935685 0.384014 
1511033.173270 9207.296873 0.384179 
1512544.206444 9205.663513 0.384343 
1514056.750650 9204.028828 0.384508 
1515570.807401 9202.413561 0.384673 
1517086.378208 9200.823567 0.384839 
1518603.464586 9199.232107 0.385004 
1520122.068051 9197.639198 0.385170 
1521642.190119 9196.045002 0.385335 
1523163.832309 9194.449454 0.385499 
1524686.996141 9192.852492 0.385664 
1526211.683138 9191.254387 0.385828 
1527737.894821 9189.654896 0.385992 
1529265.632716 9188.054025 0.386155 
1530794.898348 9186.451784 0.386318 
1532325.693247 9184.848185 0.386481 
1533858.018940 9183.243239 0.386643 
1535391.876959 9181.636957 0.386805 
1536927.268836 9180.029351 0.386967 
1538464.196105 9178.431923 0.387131 
1540002.660301 9176.843578 0.387296 
1541542.662961 9175.254058 0.387462 
1543084.205624 9173.663371 0.387626 
1544627.289830 9172.082201 0.387791 
